date,name,generation,line
2010-04-13,G3,3,
2010-06-04,G3,3,
2010-06-08,G3,3,
2010-07-20,G4,4,
2010-08-10,G4,4,
2010-10-26,G5,5,
2010-11-16,G5,5,
2010-11-19,G5,5,
2010-11-26,G5,5,
2011-02-22,G6,6,
2011-03-15,G6,6,
2011-05-31,G7L1,7,1
2011-06-22,G7L2,7,2
2011-10-05,G8L1,8,1
2011-11-05,G8L2,8,2
2012-01-31,G9,9,
2012-02-21,G9,9,
2012-05-01,G10,10,
2012-05-15,G10,10,
2012-09-01,G11,11,
2012-12-01,G12,12,
2013-03-01,G13,13,
2013-06-01,G14,14,
2013-10-22,G15,15,
2013-11-01,G15,15,
2014-03-10,G16L1,16,1
2014-03-30,G16L2,16,2
2014-06-24,G17L1,17,1
2014-07-15,G17L2,17,2
2014-10-28,G18L1,18,1
2014-11-18,G18L2,18,2
2015-03-10,G19L1,19,1
2015-03-30,G19L2,19,2
2015-06-23,G20L1,20,1
2015-06-14,G20L2,20,2
2015-10-20,G21L1,21,1
2015-11-10,G21L2,21,2
2016-03-08,G22L1,22,1
2016-03-29,G22L2,22,2
2016-06-28,G23L1,23,1
2016-07-19,G23L2,23,2
2016-10-18,G24L1,24,1
2016-11-08,G24L2,24,2
